,dataset,pc_train,context,poly_loss,krr_loss,knn_loss,nn_loss,xg_loss,rf_loss,gp_loss,num_valids,loss,loss_woo,num_o
0,ccpp,60,True,0.22475787028360428,24.505522274625893,0.4868432273657224,0.31288908689008743,0.1839337239659995,0.21546825598113245,0.7056425624223234,1436,0.219974744829006,0.215797091605142,3
1,insurance,60,True,0.4230697454499428,1.3884954514203445,1.000884597752685,0.36738154424304387,0.254834008470395,0.24303152282445148,1.2509917304695748,201,0.18699366896373115,0.18699366896373115,0
2,insurance,full,True,0.3214318927997254,1.3884954514203445,1.000884597752685,0.3561872124336337,0.2466443083420326,0.24602725068734793,1.220389553533016,201,0.19209971353267102,0.16180108832733894,2
3,insurance,full,False,0.3214318927997254,1.3884954514203445,1.000884597752685,0.3561872124336337,0.24636111475250094,0.24602725068734793,1.220389553533016,201,0.17073187358536823,0.158583494967018,1
4,servo,full,False,0.9234053148165559,0.9506592179675789,0.8600119042888126,0.8207503044150287,0.2461718521228262,0.25451632160978443,1.0332782520313848,26,0.389775913951385,0.389775913951385,0
5,servo,60,True,1.8215683976885322,0.9506587128573791,0.8600119042888126,0.8809647362875599,0.3626943538849159,0.3317654831581497,1.0316978707175941,26,0.4431768579168558,0.4431768579168558,0
6,servo,20,False,4.21018701399389,0.9492862369227179,0.9249721883498525,0.9673302657597593,0.4544751647662235,0.4673518682103012,1.0507624412345782,26,0.8071676734637878,0.8071676734637878,0
7,insurance,60,False,0.4230697454499428,1.3884954514203445,1.000884597752685,0.36738154424304387,0.25481601601572385,0.24303152282445148,1.2509917304695748,201,0.4441259363434854,0.4441259363434854,0
8,insurance,40,True,0.4567184754220062,1.3884954514203445,1.000884597752685,0.4058418598420848,0.26010455532731097,0.23675045316612095,1.249932724914308,201,0.24186188932995206,0.21502931184481272,2
9,servo,80,True,1.8215683976885322,0.9506587128573791,0.8600119042888126,0.8809647362875599,0.36891070630376227,0.3317654831581497,1.0316978707175941,26,0.3958340158702246,0.3958340158702246,0
10,ccpp,60,False,0.22475787028360428,24.505522274625893,0.4868432273657224,0.31288908689008743,0.18427797823842518,0.21546825598113245,0.7056425624223234,1436,0.41728401879035304,0.25721412232004975,2
11,servo,60,False,1.8215683976885322,0.9506587128573791,0.8600119042888126,0.8809647362875599,0.36172029752788293,0.3317654831581497,1.0316978707175941,26,0.35378722526357026,0.35378722526357026,0
12,ccpp,full,False,0.22349114571235257,21.602584814862936,0.4486772325702558,0.30099437865615897,0.16796813890738418,0.21026808361061203,0.691595947737003,1436,0.23182299874827922,0.17219653610202704,3
13,ccpp,20,True,0.2278140468520752,28.484952880488027,0.6211401379259633,0.34523325379517994,0.21887695497620518,0.22952048841239686,0.6589075663081533,1436,0.2501570317951347,0.24907557878902947,1
14,servo,full,True,0.9234053148165559,0.9506592179675789,0.8600119042888126,0.8207503044150287,0.24853009489566644,0.25451632160978443,1.0332782520313848,26,0.3204402073297652,0.3204402073297652,0
15,ccpp,80,True,0.22475787028360428,24.505522274625893,0.4868432273657224,0.31288908689008743,0.18435973453191642,0.21546825598113245,0.7056425624223234,1436,0.22926357114750778,0.22682550789554162,2
16,ccpp,40,False,0.22710427802436123,26.270975781450346,0.542426600952512,0.3115419028137994,0.19500671505250308,0.21946458874153668,0.6643580321217654,1436,0.2558100490163193,0.23644608200741474,1
17,servo,40,False,1.8691653755578326,0.9504108211940633,0.8600119042888126,0.8448878290566358,0.3862001342846703,0.39507597381425436,1.0344857103238196,26,0.5825592613115058,0.5825592613115058,0
18,servo,20,True,4.21018701399389,0.9492862369227179,0.9249721883498525,0.9673302657597593,0.4542939396874372,0.4673518682103012,1.0507624412345782,26,0.8139827957053175,0.8139827957053175,0
19,ccpp,40,True,0.22710427802436123,26.270975781450346,0.542426600952512,0.3115419028137994,0.1949153162736311,0.21946458874153668,0.6643580321217654,1436,0.2359397432505043,0.23064297386887095,4
20,servo,40,True,1.8691653755578326,0.9504108211940633,0.8600119042888126,0.8448878290566358,0.38681703327231504,0.39507597381425436,1.0344857103238196,26,0.511359564261449,0.511359564261449,0
21,insurance,20,True,1.5806697873514546,1.3918664883082537,0.9846944511071913,0.5135432174375067,0.2959350873113535,0.26172236194187243,1.3187539586201578,201,0.8956612256413747,0.8956612256413747,0
22,insurance,80,True,0.334081178071696,1.3884954514203445,1.000884597752685,0.357074628308762,0.2503076307620809,0.23550056881895554,1.226531700524057,201,0.1884825610988036,0.172642348641304,1
23,ccpp,20,False,0.2278140468520752,28.484952880488027,0.6211401379259633,0.34523325379517994,0.21890787708419512,0.22952048841239686,0.6589075663081533,1436,0.2606677478089683,0.2593078357770994,1
24,ccpp,full,True,0.22349114571235257,21.602584814862936,0.4486772325702558,0.30099437865615897,0.16782496534438548,0.21026808361061203,0.691595947737003,1436,0.21832201815421165,0.2144159294249354,3
25,insurance,80,False,0.334081178071696,1.3884954514203445,1.000884597752685,0.357074628308762,0.25026906822940104,0.23550056881895554,1.226531700524057,201,0.33995069985027565,0.33995069985027565,0
26,servo,80,False,1.8215683976885322,0.9506587128573791,0.8600119042888126,0.8809647362875599,0.36905010091761425,0.3317654831581497,1.0316978707175941,26,0.4374849489432104,0.4374849489432104,0
27,insurance,40,False,0.4567184754220062,1.3884954514203445,1.000884597752685,0.4058418598420848,0.2601489499942151,0.23675045316612095,1.249932724914308,201,0.4251186588215838,0.4251186588215838,0
28,ccpp,80,False,0.22475787028360428,24.505522274625893,0.4868432273657224,0.31288908689008743,0.18458573410582152,0.21546825598113245,0.7056425624223234,1436,0.2511253485707603,0.22259227789062283,2
29,insurance,20,False,1.5806697873514546,1.3918664883082537,0.9846944511071913,0.5135432174375067,0.2964065472195933,0.26172236194187243,1.3187539586201578,201,0.8512940480344482,0.8512940480344482,0
